time,temperature,humidity,pm10,pm2_5,no2,co,aqi,traffic_index,hour,day,month,day_of_week,is_weekend
2025-10-01 00:00:00,28.8,71.78876,79.2,41.6,42.7,1012.0,120.15625,0.13,0,1,10,2,0
2025-10-01 01:00:00,28.45,72.82045,70.8,41.3,43.3,805.0,118.854164,0.13,1,1,10,2,0
2025-10-01 02:00:00,28.0,74.07781,66.1,41.2,44.0,640.0,117.77083,0.12,2,1,10,2,0
2025-10-01 03:00:00,27.45,76.497,62.4,41.0,45.6,557.0,117.24999,0.09,3,1,10,2,0
2025-10-01 04:00:00,27.05,77.83946,62.6,41.9,47.3,515.0,117.55208,0.09,4,1,10,2,0
2025-10-01 05:00:00,24.6,92.764946,51.1,33.4,27.4,518.0,118.58332,0.14,5,1,10,2,0
2025-10-01 06:00:00,24.5,91.36808,47.6,35.3,28.9,606.0,118.39583,0.39,6,1,10,2,0
2025-10-01 07:00:00,25.25,88.43193,43.9,36.4,30.6,740.0,118.33333,0.37,7,1,10,2,0
2025-10-01 08:00:00,26.95,80.7018,38.6,34.5,30.5,807.0,118.1875,0.9,8,1,10,2,0
2025-10-01 09:00:00,28.5,71.735596,44.1,33.4,26.7,734.0,117.95833,0.88,9,1,10,2,0
2025-10-01 10:00:00,29.85,64.75968,49.7,33.8,20.9,593.0,117.66667,0.9,10,1,10,2,0
2025-10-01 11:00:00,30.65,63.182995,55.8,36.8,16.1,490.0,117.59375,0.33,11,1,10,2,0
2025-10-01 12:00:00,32.05,57.642204,65.2,40.7,12.8,467.0,117.708336,0.47,12,1,10,2,0
2025-10-01 13:00:00,32.7,53.247936,74.5,45.8,10.5,481.0,117.864586,0.53,13,1,10,2,0
2025-10-01 14:00:00,33.5,48.624943,78.2,47.1,9.8,510.0,118.32293,0.48,14,1,10,2,0
2025-10-01 15:00:00,28.45,75.27817,85.9,48.9,11.3,553.0,118.71876,0.31,15,1,10,2,0
2025-10-01 16:00:00,27.9,75.87539,92.0,50.5,14.4,611.0,119.11458,0.37,16,1,10,2,0
2025-10-01 17:00:00,27.8,73.820496,74.3,50.3,18.2,664.0,143.0272,0.92,17,1,10,2,0
2025-10-01 18:00:00,28.15,74.326996,78.2,57.5,27.4,697.0,158.64159,0.92,18,1,10,2,0
2025-10-01 19:00:00,28.15,76.60363,85.4,65.0,40.3,725.0,164.22192,0.97,19,1,10,2,0
2025-10-01 20:00:00,28.0,78.92027,93.6,74.3,50.9,776.0,160.3954,0.94,20,1,10,2,0
2025-10-01 21:00:00,27.9,80.3407,101.5,80.3,57.3,886.0,147.49149,0.4,21,1,10,2,0
2025-10-01 22:00:00,27.65,79.10941,105.9,82.0,61.4,1019.0,126.0,0.38,22,1,10,2,0
2025-10-01 23:00:00,26.35,83.352516,104.3,80.1,63.2,1090.0,129.65625,0.35,23,1,10,2,0
2025-10-02 00:00:00,26.6,83.38081,98.7,75.7,61.5,1052.0,133.4479,0.06,0,2,10,3,0
2025-10-02 01:00:00,26.5,82.36908,92.0,70.1,57.4,953.0,136.99997,0.11,1,2,10,3,0
2025-10-02 02:00:00,26.25,84.09966,83.8,64.3,54.7,851.0,139.99998,0.15,2,2,10,3,0
2025-10-02 03:00:00,26.15,85.11012,76.8,60.1,55.6,740.0,142.40625,0.11,3,2,10,3,0
2025-10-02 04:00:00,25.3,85.281044,73.3,57.7,57.7,627.0,144.39583,0.11,4,2,10,3,0
2025-10-02 05:00:00,24.35,90.257545,43.4,35.2,22.6,587.0,146.04166,0.12,5,2,10,3,0
2025-10-02 06:00:00,25.1,87.09119,40.0,31.8,25.1,701.0,146.22916,0.36,6,2,10,3,0
2025-10-02 07:00:00,26.35,80.38003,42.1,34.0,28.4,889.0,145.86456,0.37,7,2,10,3,0
2025-10-02 08:00:00,28.65,69.61995,45.9,36.7,29.1,986.0,145.61458,0.9,8,2,10,3,0
2025-10-02 09:00:00,30.25,63.481274,58.2,39.9,24.8,900.0,145.84373,0.86,9,2,10,3,0
2025-10-02 10:00:00,31.7,56.345528,62.2,42.8,18.0,724.0,146.52081,0.89,10,2,10,3,0
2025-10-02 11:00:00,31.1,56.201447,57.9,40.4,12.4,572.0,147.45831,0.39,11,2,10,3,0
2025-10-02 12:00:00,32.4,50.7835,57.2,39.0,9.3,478.0,147.83333,0.47,12,2,10,3,0
2025-10-02 13:00:00,32.25,51.8489,59.6,39.3,7.6,409.0,147.65625,0.46,13,2,10,3,0
2025-10-02 14:00:00,31.6,55.467697,63.6,40.4,7.5,382.0,146.97917,0.5,14,2,10,3,0
2025-10-02 15:00:00,31.85,53.69102,64.7,41.2,9.5,420.0,146.28125,0.38,15,2,10,3,0
2025-10-02 16:00:00,31.5,50.085545,65.2,41.8,13.2,500.0,168.36736,0.33,16,2,10,3,0
2025-10-02 17:00:00,28.75,73.312805,81.7,60.3,20.3,574.0,189.73213,0.92,17,2,10,3,0
2025-10-02 18:00:00,27.95,72.293976,70.3,57.5,23.1,629.0,197.22577,0.92,18,2,10,3,0
2025-10-02 19:00:00,27.65,73.12588,61.2,53.2,26.9,678.0,195.63138,0.96,19,2,10,3,0
2025-10-02 20:00:00,27.8,72.929665,56.1,51.3,29.6,707.0,184.47066,0.97,20,2,10,3,0
2025-10-02 21:00:00,27.7,74.704575,50.9,48.2,30.3,703.0,166.1352,0.33,21,2,10,3,0
2025-10-02 22:00:00,27.25,78.57799,46.4,45.1,29.8,680.0,140.90137,0.31,22,2,10,3,0
2025-10-02 23:00:00,27.2,86.50047,43.0,42.3,28.8,662.0,134.80208,0.38,23,2,10,3,0
2025-10-03 00:00:00,26.5,90.675415,40.0,39.6,27.1,659.0,130.8646,0.07,0,3,10,4,0
2025-10-03 01:00:00,26.4,90.12864,48.4,38.1,24.9,662.0,127.10417,0.12,1,3,10,4,0
2025-10-03 02:00:00,25.9,92.55523,49.7,36.8,23.4,667.0,123.770836,0.13,2,3,10,4,0
2025-10-03 03:00:00,25.35,93.6428,49.6,36.3,23.0,669.0,120.906235,0.08,3,3,10,4,0
2025-10-03 04:00:00,24.95,94.472275,49.6,35.2,23.3,673.0,118.42707,0.15,4,3,10,4,0
2025-10-03 05:00:00,24.95,94.188896,45.8,32.7,24.6,691.0,116.08332,0.12,5,3,10,4,0
2025-10-03 06:00:00,25.05,93.62903,48.8,33.1,25.8,752.0,115.822914,0.3,6,3,10,4,0
2025-10-03 07:00:00,25.8,88.74313,46.2,33.8,27.4,827.0,115.95832,0.31,7,3,10,4,0
2025-10-03 08:00:00,27.35,79.30681,42.4,31.5,27.0,841.0,115.93749,0.89,8,3,10,4,0
2025-10-03 09:00:00,29.05,68.02484,39.7,29.1,23.1,736.0,115.39582,0.91,9,3,10,4,0
2025-10-03 10:00:00,30.45,59.773026,39.9,28.3,17.3,570.0,114.270805,0.91,10,3,10,4,0
2025-10-03 11:00:00,31.1,56.373867,42.1,29.2,12.5,444.0,112.7604,0.32,11,3,10,4,0
2025-10-03 12:00:00,32.5,51.753155,44.1,29.6,9.5,400.0,111.593735,0.54,12,3,10,4,0
2025-10-03 13:00:00,33.2,49.29835,45.4,29.9,7.6,395.0,110.61457,0.49,13,3,10,4,0
2025-10-03 14:00:00,33.55,47.75027,44.0,29.7,7.4,404.0,109.635414,0.47,14,3,10,4,0
2025-10-03 15:00:00,33.5,47.444447,42.1,29.8,8.9,425.0,108.52082,0.37,15,3,10,4,0
2025-10-03 16:00:00,32.5,49.57366,43.1,30.4,12.0,461.0,133.24829,0.32,16,3,10,4,0
2025-10-03 17:00:00,31.6,54.6252,49.6,28.6,17.5,491.0,155.13391,0.95,17,3,10,4,0
2025-10-03 18:00:00,31.1,57.243,48.5,31.7,25.4,493.0,160.23595,0.96,18,3,10,4,0
2025-10-03 19:00:00,30.75,59.296555,50.3,37.1,36.6,489.0,155.77167,0.91,19,3,10,4,0
2025-10-03 20:00:00,30.25,62.523895,51.5,42.0,47.7,529.0,138.56293,0.99,20,3,10,4,0
2025-10-03 21:00:00,29.5,67.08866,58.2,49.2,59.1,654.0,109.86394,0.33,21,3,10,4,0
2025-10-03 22:00:00,28.75,72.652374,68.9,57.7,70.4,822.0,97.96986,0.31,22,3,10,4,0
